date,amount,type,narration,payment_mode,category
2024-03-01 10:40:23,1464.95,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), GARMENT MANUFACTURING LTD",CHQ,SALARY
2024-03-01 19:42:35,297.57,CREDIT,UPI/CR/535164685686/SRINIVAS SUNDARAM/SENT-TRANSFER FROM 6505050057,UPI,GENERAL_CREDIT
2024-03-02 13:45:52,5472.67,CREDIT,NEFT Cr-973768712618-ICIC0SF0002-COTTON MILLS CORP--,NEFT,SALARY
2024-03-04 15:44:03,566.48,DEBIT,UPI/DR/721937504972/NANDINI RAMAN/UPI-TRANSFER TO 8496128593,UPI,GENERAL_DEBIT
2024-03-06 10:16:01,656.05,CREDIT,UPI/CR/260007267399/KRISHNA PILLAI/SENT-TRANSFER FROM 9471450205,UPI,GENERAL_CREDIT
2024-03-07 13:14:45,2904.87,DEBIT,IMPS Dr-790365899707-RAMESH NAIR,IMPS,GENERAL_DEBIT
2024-03-09 11:30:37,4091.55,DEBIT,RTGS Dr-CNRBR225580045756-HDFC0004171-SHANTI VARMA-/NONE,NETBANKING,GENERAL_DEBIT
2024-03-09 12:19:58,1257.0,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), APPAREL MAKERS INDIA",CHQ,GENERAL_CREDIT
2024-03-09 14:53:02,164.3,CREDIT,IMPS BRN SALARY TRF BY-TRADE LINKS INDIA,IMPS,SALARY
2024-03-09 21:52:42,2162.73,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), BIOCARE INDUSTRIES",CHQ,GENERAL_CREDIT
2024-03-09 21:56:22,9668.04,DEBIT,RTGS Dr-CNRBR736614417674-HDFC0004171-RAJESH MENON-/NONE,NETBANKING,GENERAL_DEBIT
2024-03-11 09:54:39,1137.61,CREDIT,IMPS BRN SALARY TRF BY-FOOD INDUSTRIES CORP,IMPS,SALARY
2024-03-11 16:33:02,1983.86,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), HIGHWAY DEVELOPERS INDIA",CHQ,GENERAL_CREDIT
2024-03-11 19:41:35,921.04,CREDIT,NEFT Cr-360781696352-ICIC0SF0002-CYBERCRAFT SYSTEMS--,NEFT,GENERAL_CREDIT
2024-03-12 14:36:44,2367.45,CREDIT,NEFT Cr-225388869222-ICIC0SF0002-CURE PHARMACEUTICALS--,NEFT,GENERAL_CREDIT
2024-03-12 15:43:05,721.84,CREDIT,UPI/CR/708063905395/PRIYA RAO/SENT-TRANSFER FROM 9457339812,UPI,GENERAL_CREDIT
2024-03-12 20:11:51,732.91,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), PACKAGED GOODS LTD",CHQ,SALARY
2024-03-13 11:34:23,1245.59,CREDIT,CASH-BNA-SELF-MEERA BALAJI,NETBANKING,GENERAL_CREDIT
2024-03-13 19:35:48,1295.16,CREDIT,NEFT Cr-691644075957-ICIC0SF0002-LIFELINE PHARMACEUTICAL--,NEFT,GENERAL_CREDIT
2024-03-15 15:23:17,13208.72,DEBIT,ATM WDL-ATM CASH 84241,POS,GENERAL_DEBIT
2024-03-16 10:42:10,956.87,CREDIT,IMPS BRN SALARY TRF BY-TRANSPORT SYSTEMS CORP,IMPS,SALARY
2024-03-16 11:07:15,811.09,CREDIT,IMPS BRN SALARY TRF BY-INFOCORE TECHNOLOGIES,IMPS,SALARY
2024-03-16 13:06:09,328.07,CREDIT,CASH-BNA-SELF-RAMESH HEGDE,NETBANKING,GENERAL_CREDIT
2024-03-16 15:39:58,586.6,CREDIT,CASH-BNA-SELF-SAVITHA SUBRAMANIAN,NETBANKING,GENERAL_CREDIT
2024-03-18 12:22:36,3203.89,CREDIT,NEFT Cr-563225294976-ICIC0SF0002-DAILY NEEDS LIMITED--,NEFT,GENERAL_CREDIT
2024-03-19 11:49:14,2020.3,CREDIT,IMPS BRN SALARY TRF BY-BUILDING SOLUTIONS LTD,IMPS,SALARY
2024-03-19 13:07:16,4162.95,CREDIT,NEFT Cr-345072024197-ICIC0SF0002-COMMERCE SOLUTIONS LTD--,NEFT,SALARY
2024-03-19 16:14:03,6998.65,DEBIT,Chq Paid-MICR Inward Clearing-PRAKASH ACHARYA-HDFC BANK LTD.,ACH,GENERAL_DEBIT
2024-03-20 06:24:37,3630.21,CREDIT,NEFT Cr-123770564793-ICIC0SF0002-SKYLINE BUILDERS--,NEFT,GENERAL_CREDIT
2024-03-21 12:35:30,4886.18,CREDIT,NEFT Cr-807809202095-ICIC0SF0002-REALTY VENTURES LTD--,NEFT,SALARY
2024-03-22 12:54:37,16352.4,DEBIT,ATM WDL-ATM CASH 11636,POS,GENERAL_DEBIT
2024-03-23 07:36:45,921.69,CREDIT,NEFT Cr-322023208942-ICIC0SF0002-EXPRESS LOGISTICS INDIA--,NEFT,GENERAL_CREDIT
2024-03-23 14:10:58,458.67,CREDIT,IMPS BRN SALARY TRF BY-INDUSTRIAL COMPONENTS INDIA,IMPS,SALARY
2024-03-26 06:06:12,482.03,CREDIT,UPI/CR/370790782503/KAVITHA PILLAI/SENT-TRANSFER FROM 8732829417,UPI,GENERAL_CREDIT
2024-03-26 13:36:47,558.32,CREDIT,UPI/CR/762684735050/ARJUN HEGDE/SENT-TRANSFER FROM 9575955114,UPI,GENERAL_CREDIT
2024-03-27 08:57:07,751.59,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), CONSUMER PRODUCTS INDIA",CHQ,GENERAL_CREDIT
2024-03-27 16:18:58,874.64,CREDIT,IMPS BRN SALARY TRF BY-COMMERCE SOLUTIONS LTD,IMPS,SALARY
2024-03-28 06:21:30,119.73,CREDIT,UPI/CR/945922400026/VISHNU SHETTY/SENT-TRANSFER FROM 8737100708,UPI,GENERAL_CREDIT
2024-03-28 07:03:17,1331.32,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), ROADWAY INFRATECH",CHQ,GENERAL_CREDIT
2024-03-28 10:24:54,365.88,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), DATABRIDGE INFOTECH",CHQ,GENERAL_CREDIT
2024-03-28 12:23:06,4557.19,CREDIT,RTGS Cr-ICICR665670991434-ICIC0000011-COMMERCIAL VEHICLES LTD--/URGENT/,NETBANKING,SALARY
2024-03-28 15:08:25,3218.68,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), REMEDIES HEALTHCARE",CHQ,GENERAL_CREDIT
2024-03-28 23:59:00,6.5,DEBIT,Service Charges-NEFT/RTGS Charges,NEFT,GENERAL_DEBIT
2024-03-30 11:45:36,2963.86,CREDIT,NEFT Cr-807390094330-ICIC0SF0002-CREDIT SERVICES LTD--,NEFT,SALARY
2024-01-01 11:30:10,16807.47,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), PROPERTY DEVELOPERS CORP",CHQ,SALARY
2024-01-01 11:33:05,33899.62,CREDIT,NEFT Cr-174220616991-ICIC0SF0002-WELLNESS BRANDS INDIA--,NEFT,GENERAL_CREDIT
2024-01-01 16:37:36,6966.21,CREDIT,CASH-BNA-SELF-SHANTI MURTHY,NETBANKING,GENERAL_CREDIT
2024-01-02 11:59:08,67651.4,DEBIT,NEFT Dr-726147170770-HDFC0009038-PRAKASH SUBRAMANIAN,NEFT,GENERAL_DEBIT
2024-01-02 15:12:06,19873.37,CREDIT,IMPS BRN SALARY TRF BY-LOAN FINANCE CORP,IMPS,SALARY
2024-01-02 15:44:53,9140.91,DEBIT,ATM WDL-ATM CASH 28162,POS,GENERAL_DEBIT
2024-01-02 18:41:30,5983.23,CREDIT,IMPS BRN SALARY TRF BY-TRANSPORT SYSTEMS CORP,IMPS,SALARY
2024-01-03 12:19:51,6663.39,CREDIT,CASH-BNA-SELF-RAJESH SHETTY,NETBANKING,GENERAL_CREDIT
2024-01-03 12:53:08,51161.09,DEBIT,NEFT Dr-403965328540-HDFC0009038-VISHNU VARMA,NEFT,GENERAL_DEBIT
2024-01-04 10:53:53,1598.44,DEBIT,ATM WDL-ATM CASH 56562,POS,GENERAL_DEBIT
2024-01-04 11:52:28,1415.99,DEBIT,Cash Withdrawal-SAVITHA BALAJI,NETBANKING,GENERAL_DEBIT
2024-01-04 15:53:07,1357.46,DEBIT,IMPS Dr-971339314308-SHANTI REDDY,IMPS,GENERAL_DEBIT
2024-01-06 10:22:36,24178.04,CREDIT,"By Clg:DEL ACCTS-CITI BANK N.A.(CIT), FREIGHT LOGISTICS LTD",CHQ,SALARY
2024-01-09 14:12:16,4682.27,DEBIT,Cash Withdrawal-KARTHIK SWAMY,NETBANKING,GENERAL_DEBIT
2024-01-09 16:18:35,7806.77,CREDIT,IMPS BRN SALARY TRF BY-RESIDENTIAL PROJECTS LTD,IMPS,SALARY
2024-01-10 12:01:12,29576.87,CREDIT,NEFT Cr-810348202493-ICIC0SF0002-INDUSTRIAL WORKS INDIA--,NEFT,GENERAL_CREDIT
2024-01-10 13:36:37,2759.12,DEBIT,Cash Withdrawal-DEEPA SHETTY,NETBANKING,GENERAL_DEBIT
2024-01-11 10:03:24,19099.1,DEBIT,ATM WDL-ATM CASH 61516,POS,GENERAL_DEBIT
2024-01-15 12:30:53,14996.69,DEBIT,ATM WDL-ATM CASH 42282,POS,GENERAL_DEBIT
2024-01-15 14:29:07,56011.11,DEBIT,Chq Paid-MICR Inward Clearing-RAMESH KRISHNAN-HDFC BANK LTD.,CHQ,GENERAL_DEBIT
2024-01-15 14:39:20,9115.35,CREDIT,NEFT Cr-197068208951-ICIC0SF0002-COMMERCE SOLUTIONS LTD--,NEFT,SALARY
2024-01-15 15:41:14,31068.95,DEBIT,NEFT Dr-535067011088-HDFC0009038-DEEPA KRISHNAN,NEFT,GENERAL_DEBIT
2024-01-16 08:45:54,19224.99,DEBIT,ATM WDL-ATM CASH 48234,POS,GENERAL_DEBIT
2024-01-16 21:56:26,5824.97,DEBIT,Chq Paid-MICR Inward Clearing-VENKATESH NAIDU-HDFC BANK LTD.,CHQ,GENERAL_DEBIT
2024-01-17 10:46:17,1189.2,CREDIT,UPI/CR/575542467442/VENKATESH REDDY/SENT-TRANSFER FROM 9554118380,UPI,GENERAL_CREDIT
2024-01-17 11:13:41,4305.16,CREDIT,NEFT Cr-975537833778-ICIC0SF0002-PRECISION ENGINEERING WORKS--,NEFT,GENERAL_CREDIT
2024-01-17 11:43:18,18287.38,DEBIT,RTGS Dr-CNRBR835957605210-HDFC0004171-REVATHI VENKAT-/NONE,NETBANKING,GENERAL_DEBIT
2024-01-17 13:23:00,3310.85,CREDIT,IMPS BRN SALARY TRF BY-COMMERCIAL VEHICLES LTD,IMPS,SALARY
2024-01-18 11:44:03,1782.24,CREDIT,CASH-BNA-SELF-DEEPA SUBRAMANIAN,NETBANKING,GENERAL_CREDIT
2024-01-19 20:06:34,2220.35,CREDIT,IMPS BRN SALARY TRF BY-PREMIUM PROPERTIES LTD,IMPS,SALARY
2024-01-20 19:48:56,5398.52,DEBIT,NEFT Dr-307165698975-HDFC0009038-SUMA MURTHY,NEFT,GENERAL_DEBIT
