account_number,bank_name,date,amount,type,narration,payment_mode,category
93671569562,METROPOLITAN BANK,22/01/2024,211523.46,DEBIT,NEFT-132378208179-Debashis Chatterjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,22/01/2024,4360543.43,CREDIT,RTGS-ICICR601023058507-COTTON MILLS CORP,NETBANKING,SALARY
93671569562,METROPOLITAN BANK,22/01/2024,1410095.86,DEBIT,CHQ PAID-Sreya Sen-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,23/01/2024,60.55,DEBIT,SERVICE CHARGES-Foreign Currency Markup,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,24/01/2024,591864.02,DEBIT,IMPS-808503722605-Moumita Dutta,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,24/01/2024,1725587.07,DEBIT,RTGS-ICICR828905483489-Debashis Ghosh,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,25/01/2024,220114.36,CREDIT,IMPS-534948991247-MEDCARE LABORATORIES,IMPS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,25/01/2024,27363.6,DEBIT,CASH WITHDRAWAL-Debashis Banerjee,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,25/01/2024,373401.47,DEBIT,CHQ PAID-Debashis Ghosh-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,25/01/2024,103038.23,CREDIT,UPI/CR/872404401177/Moumita Banerjee/8525801944@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,27/01/2024,283545.97,CREDIT,IMPS-814862894400-INVESTMENT SERVICES INDIA,IMPS,SALARY
93671569562,METROPOLITAN BANK,27/01/2024,567223.99,DEBIT,NEFT-106607876577-Sujit Banerjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,27/01/2024,653974.72,CREDIT,NEFT-168260467478-FINANCE SOLUTIONS INDIA,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,27/01/2024,640121.04,CREDIT,NEFT-860475651689-APEX HEAVY INDUSTRIES,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,29/01/2024,1689476.97,DEBIT,RTGS-ICICR178481609913-Sreya Mukherjee,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,29/01/2024,314755.13,DEBIT,NEFT-189684361699-Biplab Chatterjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,29/01/2024,224966.77,CREDIT,IMPS-785792545578-RETAIL SOLUTIONS INDIA,IMPS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,30/01/2024,83513.81,CREDIT,UPI/CR/551567021449/Moumita Mukherjee/6533253673@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,30/01/2024,19881.86,DEBIT,ATM WDL-67742,POS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,30/01/2024,12119.7,CREDIT,UPI/CR/388903249604/Biplab Das/6931576782@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,31/01/2024,3617136.01,CREDIT,RTGS-ICICR797245374644-MINDWAVE CONSULTING,NETBANKING,SALARY
93671569562,METROPOLITAN BANK,31/01/2024,1078597.12,CREDIT,NEFT-344200194818-INDUSTRIAL COMPONENTS INDIA,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,01/02/2024,835165.67,DEBIT,IMPS-906950229842-Sourav Chatterjee,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,01/02/2024,772052.27,DEBIT,CHQ PAID-Sourav Mukherjee-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,01/02/2024,146005.12,DEBIT,CASH WITHDRAWAL-Sreya Sen,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,01/02/2024,1585005.86,DEBIT,NEFT-439264017694-Sourav Ghosh,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,01/02/2024,1924731.28,DEBIT,RTGS-ICICR178564805888-Arpita Sen,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,02/02/2024,156539.87,DEBIT,IMPS-469537322449-Sreya Das,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,03/02/2024,300514.34,DEBIT,NEFT-437438058738-Biplab Dutta,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,03/02/2024,225554.82,CREDIT,CLG-URBAN CONSTRUCTIONS,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,05/02/2024,83983.51,CREDIT,IMPS-962549050302-URBAN ESTATES INDIA,IMPS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,05/02/2024,257373.23,CREDIT,IMPS-443482908498-METROPOLITAN BUILDERS,IMPS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,06/02/2024,111892.21,DEBIT,NEFT-689175035951-Sourav Chatterjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,06/02/2024,17551.34,CREDIT,CASH DEPOSIT-Sreya Sen,POS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,06/02/2024,225554.82,DEBIT,REVERSAL-CLG-URBAN CONSTRUCTIONS,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,06/02/2024,900236.37,CREDIT,RTGS-ICICR631750769971-CONSUMER PRODUCTS INDIA,NETBANKING,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,07/02/2024,944376.11,CREDIT,NEFT-593325184831-COTTON MILLS CORP,NEFT,SALARY
93671569562,METROPOLITAN BANK,08/02/2024,91492.8,DEBIT,UPI/DR/874286073909/Moumita Chatterjee/7835389899@pay,UPI,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,08/02/2024,849246.99,DEBIT,CHQ PAID-Sourav Das-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,08/02/2024,550895.84,CREDIT,NEFT-553008549182-MOTOR INDUSTRIES LTD,NEFT,SALARY
93671569562,METROPOLITAN BANK,09/02/2024,213830.78,CREDIT,CLG-MEDCARE LABORATORIES,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,09/02/2024,25030.94,CREDIT,UPI/CR/460105906010/Arpita Ghosh/8996115660@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,09/02/2024,6226547.76,CREDIT,RTGS-ICICR976694996183-CONSTRUCTION SOLUTIONS LTD,NETBANKING,SALARY
93671569562,METROPOLITAN BANK,09/02/2024,5007728.08,DEBIT,RTGS-ICICR558604298079-Debashis Ghosh,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,09/02/2024,299876.5,CREDIT,CASH DEPOSIT-Arpita Mukherjee,POS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,12/02/2024,1130273.18,DEBIT,CHQ PAID-Debashis Mukherjee-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,12/02/2024,79219.87,CREDIT,UPI/CR/429902441432/Arpita Chatterjee/7441615548@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,12/02/2024,1567053.31,CREDIT,NEFT-412174678169-HOUSING DEVELOPERS CORP,NEFT,SALARY
93671569562,METROPOLITAN BANK,12/02/2024,510107.48,CREDIT,CASH DEPOSIT-Amit Dutta,POS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,12/02/2024,276501.05,DEBIT,CASH WITHDRAWAL-Sujit Ghosh,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,13/02/2024,201956.27,DEBIT,IMPS-631622638972-Debashis Bose,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,13/02/2024,91584.58,DEBIT,CASH WITHDRAWAL-Debashis Das,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,13/02/2024,1018171.46,CREDIT,IMPS-243995820572-HEALTHPLUS PHARMA LTD,IMPS,SALARY
93671569562,METROPOLITAN BANK,15/02/2024,605671.31,DEBIT,CHQ PAID-Biplab Ghosh-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,15/02/2024,622509.93,CREDIT,CLG-PREMIUM PROPERTIES LTD,CHQ,SALARY
93671569562,METROPOLITAN BANK,16/02/2024,202761.22,DEBIT,CASH WITHDRAWAL-Amit Banerjee,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,17/02/2024,2105306.02,DEBIT,NEFT-499127759824-Moumita Bose,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,17/02/2024,249997.44,CREDIT,CASH DEPOSIT-Sourav Ghosh,POS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,17/02/2024,7100.87,DEBIT,ATM WDL-60533,POS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,17/02/2024,163888.11,DEBIT,CASH WITHDRAWAL-Sujit Banerjee,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,17/02/2024,283751.39,CREDIT,CLG-APEX HEAVY INDUSTRIES,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,17/02/2024,417001.32,DEBIT,NEFT-648133157934-Sourav Banerjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,17/02/2024,451509.36,DEBIT,IMPS-893722544502-Sujit Mukherjee,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,17/02/2024,1262512.63,CREDIT,RTGS-ICICR502107000382-MEDCARE LABORATORIES,NETBANKING,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,19/02/2024,488040.17,CREDIT,NEFT-376652335954-DIGITAL SOLUTIONS INDIA,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,19/02/2024,97311.34,DEBIT,CASH WITHDRAWAL-Sujit Dutta,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,19/02/2024,370327.46,DEBIT,IMPS-722122313334-Debashis Dutta,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,20/02/2024,209215.97,DEBIT,NEFT Dr-549420003929-GST PAYMENT-GSTIN 88D3086,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,21/02/2024,2923461.21,DEBIT,RTGS-ICICR721065563710-Amit Sen,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,22/02/2024,359229.31,DEBIT,CHQ PAID-Arpita Ghosh-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,22/02/2024,836916.99,DEBIT,RTGS-ICICR871438276136-Amit Das,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,24/02/2024,13457.45,CREDIT,IMPS-283429523453-INVESTMENT SERVICES INDIA,IMPS,SALARY
93671569562,METROPOLITAN BANK,24/02/2024,13108.03,DEBIT,ATM WDL-75307,POS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,26/02/2024,33952.14,CREDIT,IMPS-716223296311-HEALTHPLUS PHARMA LTD,IMPS,SALARY
93671569562,METROPOLITAN BANK,27/02/2024,150893.67,CREDIT,CLG-URBAN CONSTRUCTIONS,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,27/02/2024,982688.91,CREDIT,RTGS-ICICR315703963001-THERMAL SYSTEMS LTD,NETBANKING,SALARY
93671569562,METROPOLITAN BANK,28/02/2024,248914.52,CREDIT,NEFT-299435734742-DAILY NEEDS LIMITED,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,28/02/2024,871588.88,CREDIT,NEFT-745935636803-LIFELINE PHARMACEUTICAL,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,28/02/2024,323.18,DEBIT,Service Charges-Demat Account AMC,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,28/02/2024,204.95,DEBIT,Service Charges-Account Maintenance,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,28/02/2024,148.15,DEBIT,Service Charges-Cheque Book Charges,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,29/02/2024,502253.8,DEBIT,NEFT-489362978698-Arpita Mukherjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,29/02/2024,449738.73,DEBIT,CHQ PAID-Sourav Mukherjee-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,29/02/2024,250370.44,CREDIT,CLG-HEALTHCARE PRODUCTS LTD,CHQ,SALARY
93671569562,METROPOLITAN BANK,01/03/2024,61368.08,CREDIT,CASH DEPOSIT-Biplab Ghosh,POS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,01/03/2024,218389.85,DEBIT,NEFT-802245550023-Debashis Das,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,01/03/2024,424248.98,CREDIT,NEFT-141639186569-CARGO SOLUTIONS LTD,NEFT,SALARY
93671569562,METROPOLITAN BANK,04/03/2024,15646.58,DEBIT,CASH WITHDRAWAL-Sreya Das,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,05/03/2024,1049044.65,CREDIT,NEFT-754533932323-PREMIUM INFRASTRUCTURE,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,06/03/2024,1173466.05,CREDIT,NEFT-720874953961-APEX HEAVY INDUSTRIES,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,06/03/2024,78046.94,DEBIT,UPI/DR/938228273657/Arpita Dutta/9815443082@pay,UPI,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,07/03/2024,549202.96,DEBIT,CHQ PAID-Amit Mukherjee-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,09/03/2024,203.56,DEBIT,SERVICE CHARGES-SMS Alert Charges,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,09/03/2024,1979578.84,DEBIT,RTGS-ICICR667538531993-Arpita Dutta,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,11/03/2024,566474.69,CREDIT,CLG-INFOCORE TECHNOLOGIES,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,12/03/2024,623782.08,CREDIT,NEFT-150314809406-COTTON MILLS CORP,NEFT,SALARY
93671569562,METROPOLITAN BANK,12/03/2024,684458.61,DEBIT,CHQ PAID-Sourav Ghosh-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,12/03/2024,34867.48,DEBIT,CASH WITHDRAWAL-Moumita Bose,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,12/03/2024,272634.11,DEBIT,IMPS-767182568503-Debashis Bose,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,12/03/2024,145590.26,CREDIT,CLG-FINANCE SOLUTIONS INDIA,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,13/03/2024,255308.2,CREDIT,IMPS-699348237428-AUTOMOTIVE PARTS CORP,IMPS,SALARY
93671569562,METROPOLITAN BANK,15/03/2024,221074.38,CREDIT,IMPS-530660066073-PRECISION ENGINEERING WORKS,IMPS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,15/03/2024,50305.0,CREDIT,Dividend Cr-CONSTRUCTION SOLUTIONS LTD-EQUITY SHARES,NETBANKING,SALARY
93671569562,METROPOLITAN BANK,16/03/2024,40564.79,CREDIT,Dividend Cr-INVESTMENT SERVICES INDIA-EQUITY SHARES,NETBANKING,SALARY
93671569562,METROPOLITAN BANK,18/03/2024,687276.61,DEBIT,NEFT-356818469317-Sujit Banerjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,18/03/2024,2859347.54,CREDIT,RTGS-ICICR833426810191-PREMIUM INFRASTRUCTURE,NETBANKING,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,20/03/2024,217209.46,CREDIT,UPI/CR/192676079687/Sreya Das/6895935167@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,20/03/2024,110199.86,DEBIT,NEFT Dr-555018204946-GST PAYMENT-GSTIN 17B4289,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,20/03/2024,0.0,DEBIT,FAILED-INSUFFICIENT FUNDS-CASH WITHDRAWAL-Biplab Bose,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,20/03/2024,6937556.79,CREDIT,RTGS-ICICR349326708987-FASHION TEXTILES LTD,NETBANKING,SALARY
93671569562,METROPOLITAN BANK,21/03/2024,70.35,DEBIT,SERVICE CHARGES-Online Banking Charges,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,21/03/2024,274762.93,CREDIT,UPI/CR/858543900722/Sujit Sen/6039526571@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,22/03/2024,1720.13,DEBIT,ATM WDL-10375,POS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,23/03/2024,393141.78,DEBIT,CASH WITHDRAWAL-Biplab Mukherjee,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,26/03/2024,1377543.83,CREDIT,NEFT-533332686973-CONSUMER PRODUCTS INDIA,NEFT,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,26/03/2024,5837.98,DEBIT,ATM WDL-33416,POS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,27/03/2024,3814610.49,DEBIT,NEFT-414653573821-Debashis Mukherjee,NEFT,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,27/03/2024,2592794.94,DEBIT,CHQ PAID-Sreya Mukherjee-MICR,CHQ,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,27/03/2024,912919.82,DEBIT,IMPS-366258800986-Biplab Banerjee,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,27/03/2024,3288566.74,DEBIT,RTGS-ICICR808270980424-Amit Banerjee,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,27/03/2024,787650.5,CREDIT,CLG-FABRIC INDUSTRIES INDIA,CHQ,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,28/03/2024,607088.73,CREDIT,IMPS-138756513515-URBAN CONSTRUCTIONS,IMPS,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,28/03/2024,96969.07,DEBIT,CASH WITHDRAWAL-Biplab Das,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,28/03/2024,83330.81,CREDIT,UPI/CR/412410978580/Amit Dutta/6601041769@pay,UPI,GENERAL_CREDIT
93671569562,METROPOLITAN BANK,28/03/2024,2786203.65,DEBIT,RTGS-ICICR191404519333-Sujit Das,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,28/03/2024,22045.74,CREDIT,Dividend Cr-HIGHWAY DEVELOPERS INDIA-EQUITY SHARES,NETBANKING,REDEMPTION
93671569562,METROPOLITAN BANK,28/03/2024,435350.64,CREDIT,CLG-GATEWAY PROJECTS LTD,CHQ,SALARY
93671569562,METROPOLITAN BANK,28/03/2024,52.25,DEBIT,Service Charges-SMS Alert Charges,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,28/03/2024,446.35,DEBIT,Service Charges-Account Maintenance,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,28/03/2024,137.17,DEBIT,Service Charges-Statement Charges,NETBANKING,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,30/03/2024,139603.35,CREDIT,NEFT-712702748091-INVESTMENT SERVICES INDIA,NEFT,SALARY
93671569562,METROPOLITAN BANK,30/03/2024,275821.46,DEBIT,IMPS-790841784891-Arpita Sen,IMPS,GENERAL_DEBIT
93671569562,METROPOLITAN BANK,30/03/2024,179352.81,CREDIT,CLG-CYBERCRAFT SYSTEMS,CHQ,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,01/01/2024,495577.22,CREDIT,IMPS-332825958695-CONSTRUCTION SOLUTIONS LTD,IMPS,SALARY
34068224171,INDUSBANK LIMITED,01/01/2024,165.94,DEBIT,SERVICE CHARGES-SMS Alert Charges,NETBANKING,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,02/01/2024,3516344.83,DEBIT,RTGS-ICICR669789855869-Debashis Sen,NETBANKING,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,02/01/2024,333076.69,CREDIT,CLG-HEALTHCARE PRODUCTS LTD,CHQ,SALARY
34068224171,INDUSBANK LIMITED,02/01/2024,425963.62,DEBIT,NEFT-726341209659-Debashis Chatterjee,NEFT,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,03/01/2024,92145.06,CREDIT,CLG-CAPITAL VENTURES INDIA,CHQ,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,03/01/2024,200831.96,DEBIT,CHQ PAID-Sreya Mukherjee-MICR,CHQ,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,03/01/2024,87562.58,CREDIT,CLG-URBAN CONSTRUCTIONS,CHQ,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,03/01/2024,522726.4,DEBIT,CHQ PAID-Biplab Dutta-MICR,CHQ,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,04/01/2024,64352.17,CREDIT,CLG-URBAN ESTATES INDIA,CHQ,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,04/01/2024,153783.58,CREDIT,CLG-URBAN CONSTRUCTIONS,CHQ,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,04/01/2024,11508.31,DEBIT,IMPS-450737107064-Biplab Chatterjee,IMPS,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,05/01/2024,308545.06,DEBIT,NEFT-460883934750-Sujit Sen,NEFT,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,05/01/2024,97291.91,CREDIT,CLG-SUPPLY CHAIN CORP,CHQ,SALARY
34068224171,INDUSBANK LIMITED,06/01/2024,6137.69,CREDIT,UPI/CR/663620378225/Sourav Dutta/6255452984@pay,UPI,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,08/01/2024,1830.95,DEBIT,ATM WDL-22818,POS,GENERAL_DEBIT
34068224171,INDUSBANK LIMITED,09/01/2024,4513.68,CREDIT,UPI/CR/957586074964/Moumita Chatterjee/7827279887@pay,UPI,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,09/01/2024,210759.3,CREDIT,RTGS-ICICR694152386411-MOTOR INDUSTRIES LTD,NETBANKING,SALARY
34068224171,INDUSBANK LIMITED,09/01/2024,206593.95,CREDIT,CLG-HIGHWAY DEVELOPERS INDIA,CHQ,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,11/01/2024,160919.89,CREDIT,CLG-THERMAL SYSTEMS LTD,CHQ,SALARY
34068224171,INDUSBANK LIMITED,12/01/2024,502350.25,CREDIT,NEFT-681162874975-PREMIUM INFRASTRUCTURE,NEFT,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,13/01/2024,80379.82,CREDIT,UPI/CR/451240120409/Arpita Mukherjee/6096550720@pay,UPI,GENERAL_CREDIT
34068224171,INDUSBANK LIMITED,15/01/2024,204268.9,CREDIT,IMPS-372414255374-PERSONAL CARE LTD,IMPS,SALARY
34068224171,INDUSBANK LIMITED,15/01/2024,34236.88,CREDIT,UPI/CR/827879283173/Moumita Das/6801023201@pay,UPI,GENERAL_CREDIT
