log_annual_credit,log_annual_debit,net_savings_ratio,monthly_burn_rate,salary_inflow_ratio,monthly_credit_cv,salary_regularity_score,bonus_lump_sum_ratio,investment_ratio,fixed_obligation_ratio,discretionary_ratio,tax_shield_ratio,upi_velocity_index,micro_spend_density,log_avg_ticket_size,capital_gains_flux,account_number,bank_name,total_transactions,raw_annual_credits,raw_annual_debits
17.2405,17.2667,-0.0266,1.0266,0.3632,0.6194,0.25,0.0,0.0,0.0221,0.0,0.0,0.0843,0.0,12.8348,0.0021,14810748746,SYNERGY BANK LIMITED,166,30720939.470000003,31539358.14
17.6032,17.5312,0.0694,0.9306,0.261,0.4711,0.25,0.0,0.0,0.0147,0.0,0.0,0.0988,0.0,13.1734,0.0,14881785352,METROPOLITAN BANK,162,44152619.73,41087401.919999994
16.1944,16.3573,-0.1769,1.1769,0.7692,1.6974,0.8333,0.366,0.0,0.0003,0.0,0.0003,0.0943,0.0,11.2102,0.0,16012081629,Prosperity Bank Limited,318,10792808.999999998,12701934.940000001
18.4006,18.4016,-0.001,1.001,0.4182,0.83,0.25,0.0,0.0,0.0076,0.0,0.0,0.0932,0.0,14.0129,0.0024,16326761553,ROYAL COMMERCE BANK,161,98016654.2,98113685.41000001
16.0317,16.1078,-0.0792,1.0792,0.7989,1.5759,0.9167,0.0,0.0,0.0143,0.0,0.0004,0.1083,0.0,11.0142,0.0,16458699767,Paramount Banking Corporation,314,9171859.040000001,9898032.920000002
16.6308,16.6607,-0.0304,1.0304,0.4902,0.2944,0.25,0.0,0.0,0.0092,0.0,0.0,0.0988,0.0,12.2514,0.0007,17070262016,CITADEL BANK OF INDIA,162,16697959.820000002,17205234.61
16.9196,16.8804,0.0384,0.9616,0.7418,1.2254,0.5833,0.0,0.0,0.0003,0.0,0.0002,0.0964,0.0,11.7882,0.0,17646731106,Milestone Banking Solutions,332,22288183.82,21432193.880000003
18.796,18.8078,-0.0118,1.0118,0.325,0.077,0.25,0.0,0.0,0.0,0.0,0.0,0.1024,0.0,14.3831,0.0007,17809366258,PROGRESSIVE NATIONAL BANK,166,145552336.21,147275674.13
18.6655,18.6145,0.0498,0.9502,0.401,0.5432,0.25,0.0,0.0,0.0,0.0,0.0,0.1258,0.0,14.2646,0.0004,19231389954,PARAMOUNT BANKING CORPORATION,159,127743679.46999998,121386308.49000001
20.9759,20.9734,0.0025,0.9975,0.4995,0.8306,0.25,0.0,0.0,0.0023,0.001,0.0,0.0859,0.0,15.8809,0.0,19571944444,ZENITH BANK OF INDIA,326,1287435904.3000002,1284224170.62
17.2456,17.2657,-0.0204,1.0204,0.6178,1.8805,0.9167,0.0,0.0,0.0,0.0,0.0,0.1615,0.0,12.1743,0.0007,19772027205,Velocity Banking Corporation,322,30878173.159999996,31506729.1
17.3262,17.3477,-0.0218,1.0218,0.5016,1.1116,0.8333,0.0,0.0,0.0063,0.0,0.0,0.152,0.0,12.1954,0.0,20590572906,Velocity Banking Corporation,342,33471358.46,34200411.44
17.4187,17.4555,-0.0375,1.0375,0.4086,0.6305,0.25,0.0,0.0,0.0,0.0,0.0,0.1083,0.0,12.381,0.0008,20958186436,INDUSBANK LIMITED,314,36713463.0,38089553.60000001
19.2611,19.2668,-0.0057,1.0057,0.27,0.1291,0.25,0.0,0.0,0.0172,0.0,0.0001,0.1429,0.0,14.14,0.0003,20991457357,INDUSBANK LIMITED,336,231740042.74,233065409.88000003
17.6117,17.6532,-0.0424,1.0424,0.3526,0.2465,0.25,0.0,0.0,0.0304,0.0,0.0,0.1474,0.0,13.276,0.0,21831182025,HERITAGE BANK LIMITED,156,44532044.86999999,46419308.62
18.4056,18.445,-0.0402,1.0402,0.2589,0.5157,0.25,0.0,0.0,0.0095,0.0,0.0,0.1235,0.0,14.031,0.0079,22016692575,PROGRESSIVE NATIONAL BANK,162,98500672.52,102457153.85
17.035,17.0902,-0.0568,1.0568,0.6549,1.8452,0.75,0.0,0.0,0.0197,0.0,0.0,0.0909,0.0,11.9571,0.0,22079126167,Zenith Bank of India,330,25015762.26,26435811.5
18.9355,18.9763,-0.0416,1.0416,0.2636,0.3271,0.25,0.0,0.0,0.0054,0.0,0.0,0.0949,0.0,13.8935,0.0019,22643911066,PROSPERITY BANK LIMITED,316,167335190.47999996,174302864.01999998
17.505,17.5208,-0.0159,1.0159,0.558,0.9423,1.0,0.0,0.0,0.0045,0.0,0.0,0.1463,0.0,12.413,0.0,22809696940,Prosperity Bank Limited,328,40023251.5,40661181.42
18.557,18.4423,0.1083,0.8917,0.3697,0.4128,0.25,0.0,0.0,0.0067,0.0,0.0,0.0409,0.0,13.3596,0.0025,23045836964,PROGRESSIVE NATIONAL BANK,342,114599546.40000002,102190538.12000002
16.7196,16.7133,0.0063,0.9937,0.5939,1.51,0.75,0.0,0.0,0.0,0.0,0.0,0.1195,0.0,11.6476,0.0,23628882378,Milestone Banking Solutions,318,18249178.979999997,18134438.54
18.0401,18.0738,-0.0342,1.0342,0.3584,0.584,0.25,0.0,0.0,0.0,0.0,0.0,0.0932,0.0,12.9757,0.0004,23908718914,UNITY NATIONAL BANK,322,68347046.94,70686603.11999999
16.5036,16.4947,0.0089,0.9911,0.5006,1.4694,0.5833,0.0,0.0,0.0141,0.0,0.0,0.1341,0.0,11.3993,0.0021,24803708563,Prosperity Bank Limited,328,14703424.260000002,14572647.26
17.6204,17.6375,-0.0172,1.0172,0.541,1.3265,0.8333,0.0,0.0,0.0094,0.0,0.0,0.131,0.0,12.505,0.0,25917303966,Velocity Banking Corporation,336,44921387.6,45694281.17999999
18.1287,18.1419,-0.0133,1.0133,0.6931,0.6897,0.5833,0.0,0.0,0.0037,0.0,0.0,0.1582,0.0,13.0727,0.0,26530104061,Zenith Bank of India,316,74677970.46000001,75667816.9
18.4262,18.4412,-0.0151,1.0151,0.3606,0.2695,0.25,0.2431,0.0,0.0,0.0,0.0,0.1887,0.0,14.058,0.0037,27149236267,UNITY NATIONAL BANK,159,100558406.34,102074434.39
18.9031,18.8998,0.0033,0.9967,0.3831,2.0001,0.9167,0.0,0.0,0.0039,0.0,0.0,0.0854,0.0,13.8016,0.0005,27432086127,Citadel Bank of India,328,162005226.2,161466478.57999998
16.478,16.4497,0.0279,0.9721,0.4904,1.4909,0.9167,0.0,0.0,0.0384,0.0,0.0,0.0756,0.0,11.3164,0.0,28326369767,Prosperity Bank Limited,344,14331209.02,13931605.36
17.4606,17.5126,-0.0534,1.0534,0.4872,0.6527,0.25,0.1927,0.0,0.0159,0.0,0.0001,0.1,0.0,13.0443,0.0007,28418326200,TRUSTMARK BANK,170,38286093.589999996,40330422.11
17.0953,16.9482,0.1369,0.8631,0.4088,1.5227,0.75,0.0,0.0,0.0207,0.0,0.0,0.1173,0.0,11.9369,0.0013,28579606781,Unity National Bank,324,26571369.519999996,22934974.78
17.4803,17.5067,-0.0267,1.0267,0.4642,1.3075,0.8333,0.0,0.0,0.0096,0.0,0.0002,0.122,0.0,12.3937,0.0,29429783003,Prosperity Bank Limited,328,39049048.56,40091226.64
17.9448,17.9927,-0.0491,1.0491,0.5947,1.8088,0.8333,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,12.9128,0.0,30330738461,IndusBank Limited,314,62132250.55999999,65182233.28
17.7186,17.744,-0.0257,1.0257,0.4866,1.9464,0.6667,0.0,0.0,0.0014,0.0,0.0,0.0955,0.0,12.6751,0.0,30438140548,Velocity Banking Corporation,314,49556538.32,50827885.42
16.5847,16.4593,0.1179,0.8821,0.3579,1.379,0.8333,0.0,0.0,0.0,0.0,0.0,0.1572,0.0,11.4551,0.0,30688915576,Metropolitan Bank,318,15945726.600000001,14066209.04
16.1504,16.0746,0.073,0.927,0.5807,1.8455,0.8333,0.0,0.0,0.0,0.0,0.0,0.1062,0.0,11.0381,0.0,31205880445,Royal Commerce Bank,320,10328667.54,9574328.18
18.1201,18.1235,-0.0034,1.0034,0.6012,0.4917,0.25,0.3257,0.0,0.0,0.0,0.0,0.1338,0.0,13.7587,0.0015,31756224809,PROSPERITY BANK LIMITED,157,74038765.08,74289171.17999999
19.5929,19.5668,0.0258,0.9742,0.3906,0.0582,0.25,0.0,0.0,0.0123,0.0,0.0,0.0602,0.0,14.4679,0.0,32365443600,HERITAGE BANK LIMITED,332,322906468.78,314584681.46000004
16.5885,16.6067,-0.0184,1.0184,0.5171,1.3816,0.9167,0.0,0.0,0.0097,0.0,0.0002,0.1447,0.0,11.5287,0.0,32777244028,Metropolitan Bank,318,16005779.540000003,16300422.7
17.6249,17.443,0.1663,0.8337,0.6301,1.0956,0.75,0.0,0.0,0.0126,0.0,0.0003,0.1394,0.0,12.4322,0.001,32876875052,Zenith Bank of India,330,45124035.5,37618664.879999995
18.7054,18.7268,-0.0216,1.0216,0.5514,0.0804,0.25,0.0,0.0,0.0147,0.0,0.0,0.1566,0.0,14.2973,0.0014,32902987530,CORNERSTONE BANK OF INDIA,166,132932515.14,135810243.42
19.0037,19.046,-0.0432,1.0432,0.597,1.346,0.9167,0.0,0.0,0.0,0.0,0.0,0.1529,0.0,13.9688,0.0,33326806934,Unity National Bank,314,179144944.82,186890395.59999996
18.9332,18.9201,0.013,0.987,0.4327,0.3739,0.25,0.0,0.0,0.0,0.0,0.0,0.1139,0.0,14.5572,0.0005,33812359982,HERITAGE BANK LIMITED,158,166949783.69,164771804.16
18.6259,18.5946,0.0308,0.9692,0.2787,0.6704,0.25,0.0,0.0,0.0,0.0,0.0001,0.1266,0.0,13.5478,0.0,34068224171,INDUSBANK LIMITED,316,122773541.97999999,118997957.39999998
16.4754,16.5639,-0.0925,1.0925,0.3649,1.1179,0.8333,0.0,0.0,0.0073,0.0,0.0,0.1152,0.0,11.4147,0.0,34724033396,IndusBank Limited,330,14294094.56,15616789.42
18.4206,18.3467,0.0713,0.9287,0.3535,0.389,0.25,0.0,0.0,0.0093,0.0,0.0001,0.1131,0.0,13.9535,0.0027,35138592445,CORNERSTONE BANK OF INDIA,168,99995835.06,92871002.67999998
19.096,19.0857,0.0102,0.9898,0.5607,0.3412,0.25,0.2011,0.0,0.0,0.0245,0.0,0.1472,0.0,14.6903,0.002,35241427512,METROPOLITAN BANK,163,196461187.23,194461601.45
15.1249,15.0187,0.1007,0.8993,0.2122,1.3751,0.9167,0.0,0.0,0.0267,0.0,0.0021,0.1294,0.0,9.9374,0.0,35522670848,Velocity Banking Corporation,340,3703746.4599999995,3330673.9999999995
17.6188,17.7174,-0.1036,1.1036,0.3779,0.1658,0.25,0.0,0.0,0.0,0.0,0.0,0.0897,0.0,13.3126,0.0008,36606732752,INDUSBANK LIMITED,156,44847766.06,49493909.21
19.387,19.4073,-0.0205,1.0205,0.3548,0.4172,0.25,0.0,0.0,0.045,0.0,0.0,0.1346,0.0,15.0405,0.0002,36647942606,HERITAGE BANK LIMITED,156,262833857.52,268223379.05
17.6859,17.7198,-0.0345,1.0345,0.4874,0.884,0.8333,0.0,0.0,0.0047,0.0,0.0,0.1529,0.0,12.6468,0.0,37186125578,Heritage Bank Limited,314,47961400.58,49616902.379999995
17.1056,17.1499,-0.0453,1.0453,0.4453,1.626,0.75,0.0,0.0,0.0341,0.0,0.0,0.1212,0.0,12.0221,0.004,38441805277,Paramount Banking Corporation,330,26846222.44,28061488.919999998
15.8829,15.9013,-0.0186,1.0186,0.368,1.341,0.6667,0.0,0.0,0.0,0.0,0.0,0.098,0.0,10.8617,0.0,39454357357,Citadel Bank of India,306,7904236.620000001,8051289.0200000005
17.2627,17.4163,-0.1659,1.1659,0.3975,0.099,0.25,0.0,0.0,0.0127,0.0,0.0,0.15,0.0,12.9604,0.0035,40000246936,PARAMOUNT BANKING CORPORATION,160,31413415.569999997,36626404.70999999
18.2496,18.2898,-0.0411,1.0411,0.4899,0.4147,0.25,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,13.9132,0.0002,40346983264,PROGRESSIVE NATIONAL BANK,156,84272387.2,87733197.77999999
18.6618,18.6864,-0.0249,1.0249,0.3749,0.1838,0.25,0.0,0.0,0.0136,0.0,0.0,0.0988,0.0,14.2797,0.0,41861926355,ZENITH BANK OF INDIA,162,127262802.47,130436309.45
17.6795,17.7156,-0.0367,1.0367,0.4801,1.159,0.9167,0.0,0.0,0.0001,0.0,0.0001,0.0859,0.0,12.6039,0.0,41894697953,Cornerstone Bank of India,326,47654008.72,49404729.32
16.854,16.8662,-0.0123,1.0123,0.5282,1.5657,0.8333,0.0,0.0,0.0092,0.0,0.0004,0.0756,0.0,11.7126,0.0,42030628886,Metropolitan Bank,344,20873792.5,21130203.520000003
18.3127,18.3058,0.0069,0.9931,0.5554,0.9872,0.8333,0.0,0.0,0.0066,0.0,0.0,0.0683,0.0,13.2278,0.0013,42146130224,Royal Commerce Bank,322,89761988.18,89144953.78
16.8161,16.8612,-0.0462,1.0462,0.5197,1.5096,0.8333,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,11.7149,0.0021,42629316013,Prosperity Bank Limited,336,20096609.82,21024848.939999998
17.1396,17.1872,-0.0487,1.0487,0.5261,1.3027,0.8333,0.0,0.0,0.0,0.0,0.0,0.0745,0.0,12.0823,0.0,43021457839,Citadel Bank of India,322,27774616.92,29126797.019999996
18.2381,18.2199,0.018,0.982,0.773,1.0356,0.6667,0.0,0.0,0.0,0.0,0.0,0.1437,0.0,13.1538,0.0,43435427973,Cornerstone Bank of India,320,83309146.66,81808045.0
18.8426,18.856,-0.0135,1.0135,0.707,1.5923,0.75,0.0,0.0,0.0053,0.0,0.0,0.0833,0.0,13.7995,0.0,43757578572,Trustmark Bank,312,152490828.89999998,154545239.16
17.1628,17.2199,-0.0587,1.0587,0.6664,1.0879,0.75,0.0,0.0,0.0005,0.0,0.0005,0.1313,0.0,12.1166,0.0,44790182329,Prosperity Bank Limited,320,28425937.42,30094413.04
18.6241,18.6676,-0.0444,1.0444,0.3386,0.0366,0.25,0.0,0.0,0.0,0.0,0.0,0.1474,0.0,14.2894,0.0053,44826835244,INDUSBANK LIMITED,156,122564541.45000002,128005364.83
17.9299,17.6483,0.2454,0.7546,0.5801,0.9226,0.25,0.3314,0.0,0.0206,0.0,0.0,0.1166,0.0,13.3984,0.0053,45433700303,PROSPERITY BANK LIMITED,163,61214719.79000001,46193149.42
18.9046,18.9101,-0.0055,1.0055,0.2446,0.4177,0.25,0.0,0.0,0.0,0.0,0.0,0.131,0.0,14.4766,0.0018,45520887066,CITADEL BANK OF INDIA,168,162246594.33,163137710.19000006
15.3035,15.3387,-0.0358,1.0358,0.6348,1.5105,0.6667,0.0,0.0,0.0207,0.0,0.0,0.1049,0.0,10.2337,0.0,45868010091,Velocity Banking Corporation,324,4428271.4,4586891.5600000005
17.5785,17.6231,-0.0456,1.0456,0.3179,1.2763,0.8333,0.0,0.0,0.0,0.0,0.0,0.1731,0.0,12.5512,0.0,46552707646,Velocity Banking Corporation,312,43076254.31999999,45039562.92
18.3052,18.2295,0.0729,0.9271,0.5496,1.5811,0.8333,0.0,0.0,0.0094,0.0,0.0,0.1049,0.0,13.1804,0.0,46743771886,Cornerstone Bank of India,324,89089625.34,82597519.14000002
18.069,18.0169,0.0508,0.9492,0.5152,0.3889,0.25,0.0,0.0,0.0133,0.0,0.0001,0.122,0.0,13.6366,0.0032,47315310556,ROYAL COMMERCE BANK,164,70351239.44000001,66776781.9
18.3524,18.3432,0.0091,0.9909,0.5982,1.9568,0.75,0.0,0.0,0.0006,0.0,0.0002,0.1018,0.0,13.2298,0.0,47803927299,Milestone Banking Solutions,334,93400159.92,92546935.38
16.2989,16.3998,-0.1062,1.1062,0.6231,1.4606,0.75,0.0,0.0,0.0,0.0,0.0,0.1582,0.0001,11.2881,0.005,48507051395,Trustmark Bank,316,11982312.739999998,13254292.02
18.2176,18.2435,-0.0263,1.0263,0.3882,0.6273,0.25,0.0,0.0,0.018,0.0,0.0001,0.1071,0.0,13.7999,0.0028,48630549472,SYNERGY BANK LIMITED,168,81623076.06000002,83766363.68
18.2139,18.2544,-0.0413,1.0413,0.3657,0.454,0.25,0.0,0.0,0.0,0.0,0.0,0.15,0.0,13.8523,0.0006,48838733909,CORNERSTONE BANK OF INDIA,160,81322572.07000001,84680460.46
19.2673,19.3634,-0.1008,1.1008,0.3998,0.6084,0.25,0.0,0.0,0.0,0.0,0.0,0.1355,0.0,14.9662,0.0007,49610465463,CORNERSTONE BANK OF INDIA,155,233184363.81,256690823.84000003
18.8136,18.5066,0.2644,0.7356,0.4266,0.4474,0.25,0.1758,0.0,0.0087,0.0,0.0,0.0696,0.0,14.3024,0.0009,51164221247,PARAMOUNT BANKING CORPORATION,158,148136292.5,108972299.45
19.9769,19.9988,-0.0222,1.0222,0.3951,0.5357,0.25,0.1689,0.0,0.0,0.0,0.0,0.1548,0.0,15.6377,0.0048,51632953636,VELOCITY BANKING CORPORATION,155,474095371.31999993,484604878.21000004
17.2126,17.2566,-0.045,1.045,0.3872,0.2994,0.25,0.1865,0.0,0.0,0.0,0.0,0.1613,0.0,12.8845,0.0005,51998733572,HERITAGE BANK LIMITED,155,29876433.119999997,31220111.62
18.7754,18.7369,0.0378,0.9622,0.456,0.5261,0.25,0.0,0.0,0.0198,0.0,0.0,0.1018,0.0,13.6383,0.0016,52934702276,MILESTONE BANKING SOLUTIONS,334,142570969.48000002,137188830.35999995
14.5824,14.5902,-0.0078,1.0078,0.3293,0.743,0.25,0.2517,0.0,0.0304,0.0,0.0018,0.1302,0.0007,10.1496,0.0048,53627143844,METROPOLITAN BANK,169,2153140.27,2169939.67
19.1976,19.0903,0.1017,0.8983,0.3063,0.3222,0.25,0.0,0.0,0.0239,0.0,0.0,0.1024,0.0,14.7265,0.0012,54063535360,TRUSTMARK BANK,166,217475925.67,195348915.69
17.3413,17.3848,-0.0445,1.0445,0.4274,1.2753,0.75,0.0,0.0,0.0134,0.0,0.0,0.1288,0.0,12.2696,0.0013,54197674225,Milestone Banking Solutions,326,33981032.46,35492002.96000001
15.0366,15.1456,-0.1151,1.1151,0.5989,1.2128,0.9167,0.0,0.0,0.0,0.0,0.0,0.1572,0.0008,10.0237,0.0018,54364147693,Royal Commerce Bank,318,3390944.3600000003,3781292.52
17.6574,17.6208,0.0359,0.9641,0.6774,1.231,0.9167,0.0,0.0,0.0001,0.0,0.0001,0.0788,0.0,12.5333,0.0,54383552337,Cornerstone Bank of India,330,46613469.82,44939123.480000004
15.4366,15.6199,-0.2012,1.2012,0.4537,0.7502,0.8333,0.0,0.0,0.0033,0.0,0.0039,0.1257,0.0,10.4145,0.0,55692698165,Milestone Banking Solutions,334,5058501.4,6076352.619999999
17.8815,17.8925,-0.011,1.011,0.2922,1.1666,0.6667,0.0,0.0,0.0058,0.0,0.0001,0.092,0.0,12.7932,0.0012,55851278628,Milestone Banking Solutions,326,58321827.099999994,58964799.739999995
17.399,17.4778,-0.082,1.082,0.7455,1.4697,0.9167,0.0,0.0,0.0,0.0,0.0,0.1266,0.0,12.3766,0.0,55894027550,Synergy Bank Limited,316,35999681.739999995,38951605.98
17.9463,17.9261,0.02,0.98,0.4988,0.2879,0.25,0.0,0.0,0.0,0.0,0.0,0.1887,0.0,13.5605,0.0,55968639138,HERITAGE BANK LIMITED,159,62226866.74000001,60980922.080000006
18.0595,17.9974,0.0602,0.9398,0.3985,0.5043,0.25,0.0,0.0,0.0,0.0,0.0,0.1132,0.0,13.6532,0.0002,56450365356,CITADEL BANK OF INDIA,159,69683616.98,65491293.4
15.1581,15.2044,-0.0473,1.0473,0.1931,0.6452,0.25,0.1702,0.0,0.0,0.0,0.0,0.1097,0.0,10.8313,0.001,56461679761,METROPOLITAN BANK,155,3829084.18,4010390.81
17.8901,17.9932,-0.1086,1.1086,0.3326,0.3974,0.25,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,13.5799,0.0025,56802895776,UNITY NATIONAL BANK,157,58824872.9,65212793.35999999
18.5012,18.4934,0.0078,0.9922,0.7008,0.4655,0.25,0.1771,0.0,0.0294,0.0,0.0,0.0909,0.0,14.0845,0.0009,58006933602,ROYAL COMMERCE BANK,165,108386367.78,107539406.52999999
15.6619,15.7394,-0.0806,1.0806,0.4698,1.5859,0.75,0.0,0.0,0.0,0.0,0.0,0.1154,0.0001,10.6516,0.0,58632655249,Cornerstone Bank of India,312,6336590.279999999,6847623.819999999
18.3292,18.3448,-0.0157,1.0157,0.5282,0.4428,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,13.955,0.0,59393000196,ZENITH BANK OF INDIA,160,91253724.92,92690469.6
16.9544,16.8211,0.1248,0.8752,0.5021,0.1599,0.25,0.0,0.0,0.0,0.0,0.0003,0.0714,0.0,12.4592,0.0049,59656434555,ZENITH BANK OF INDIA,168,23078747.2,20198694.959999993
17.7052,17.7436,-0.0392,1.0392,0.5568,1.4192,0.75,0.0,0.0,0.0184,0.0,0.0,0.1879,0.0,12.6186,0.0,59670132185,Cornerstone Bank of India,330,48894523.68000001,50809190.16
18.7231,18.706,0.017,0.983,0.4164,0.2276,0.25,0.0,0.0,0.0095,0.0,0.0,0.0854,0.0,13.6147,0.0022,60108027008,SYNERGY BANK LIMITED,328,135310820.88,133013669.24000001
17.591,17.6005,-0.0096,1.0096,0.6353,1.566,1.0,0.0,0.0,0.0178,0.0,0.0005,0.1176,0.0,12.46,0.002,60273451072,IndusBank Limited,340,43617904.760000005,44036750.10000001
17.5775,17.3788,0.1802,0.8198,0.5936,1.2282,0.8333,0.0,0.0,0.0126,0.0,0.0,0.1375,0.0,12.4079,0.0,60799143859,Zenith Bank of India,320,43033368.0,35280115.7
17.035,17.0432,-0.0082,1.0082,0.3989,0.4867,0.25,0.0,0.0,0.0286,0.0,0.0001,0.1265,0.0,12.6202,0.0016,61370448090,CITADEL BANK OF INDIA,166,25014605.87,25220652.22
17.7418,17.7441,-0.0023,1.0023,0.2599,0.9007,0.25,0.2399,0.0,0.0326,0.0,0.0,0.1338,0.0,13.3799,0.0011,62045674489,ROYAL COMMERCE BANK,157,50717920.79000001,50836209.45
17.4361,17.4718,-0.0363,1.0363,0.7289,0.9166,0.8333,0.0,0.0,0.0,0.0,0.0,0.1056,0.0,12.3727,0.0031,62817766691,Zenith Bank of India,322,37357915.980000004,38715785.8
16.5166,16.5891,-0.0753,1.0753,0.5312,1.4665,0.8333,0.0,0.0,0.0281,0.0,0.0015,0.128,0.0,11.4536,0.0,63090750665,Prosperity Bank Limited,328,14895252.54,16016251.04
16.3808,16.4856,-0.1105,1.1105,0.2234,0.3617,0.25,0.0,0.0,0.0131,0.0,0.0003,0.1056,0.0,12.0463,0.0033,64242042354,VELOCITY BANKING CORPORATION,161,13004543.949999997,14441253.1
15.1249,15.3347,-0.2335,1.2335,0.2588,0.5031,0.25,0.0,0.0,0.0579,0.0,0.0,0.1187,0.0,10.1602,0.0006,65234365927,TRUSTMARK BANK,320,3703895.6799999997,4568724.7
17.9114,17.968,-0.0582,1.0582,0.3645,0.6113,0.25,0.0,0.0,0.0,0.0,0.0,0.1538,0.0,13.5834,0.0029,66157751453,CORNERSTONE BANK OF INDIA,156,60090259.839999996,63590057.6
15.9837,16.0639,-0.0836,1.0836,0.4554,1.2167,0.9167,0.0,0.0,0.0063,0.0,0.0,0.1104,0.0,10.9309,0.0,66680946836,Trustmark Bank,326,8742088.02,9472669.2
16.781,16.8129,-0.0325,1.0325,0.3925,1.5231,0.9167,0.0,0.0,0.0,0.0,0.0,0.1,0.0,11.7219,0.0009,66813546975,Velocity Banking Corporation,320,19403417.439999998,20033564.1
18.4527,18.4367,0.0158,0.9842,0.3873,0.2756,0.25,0.0,0.0,0.0116,0.0,0.0,0.1635,0.0,13.3758,0.0012,67374661751,SYNERGY BANK LIMITED,318,103251911.6,101617321.72
17.613,17.592,0.0207,0.9793,0.741,1.1768,0.8333,0.0,0.0,0.0143,0.0,0.0004,0.1138,0.0,12.4846,0.0,67553919409,Citadel Bank of India,334,44587062.16,43663648.900000006
19.8188,19.7203,0.0938,0.9062,0.4973,0.3237,0.25,0.0,0.0,0.0,0.0,0.0,0.0798,0.0,14.677,0.0004,67699966034,PARAMOUNT BANKING CORPORATION,326,404754125.65999997,366806222.91999996
18.1272,18.0904,0.0362,0.9638,0.5649,1.0776,0.9167,0.0,0.0,0.0,0.0,0.0,0.1019,0.0,13.0527,0.0,68629259538,Synergy Bank Limited,314,74565184.14,71868851.98
18.066,17.9982,0.0656,0.9344,0.3147,0.8608,0.25,0.0,0.0,0.0257,0.0,0.0,0.1333,0.0,13.6199,0.0024,68889231143,MILESTONE BANKING SOLUTIONS,165,70139676.09,65539400.82
17.4576,17.3887,0.0666,0.9334,0.4353,0.9111,0.8333,0.0,0.0,0.0135,0.0,0.0,0.1069,0.0,12.3549,0.0,69051827793,Citadel Bank of India,318,38173275.16,35630861.44000001
18.729,18.5335,0.1776,0.8224,0.3467,0.2832,0.25,0.0,0.0,0.0095,0.0,0.0,0.1125,0.0,14.254,0.0018,69651806101,ROYAL COMMERCE BANK,160,136112672.23000002,111941112.59999998
19.8855,19.8946,-0.0092,1.0092,0.4303,0.224,0.25,0.0,0.0,0.0066,0.0019,0.0,0.1006,0.0,14.8212,0.0008,71015452603,CITADEL BANK OF INDIA,318,432672626.34,436636870.02
